COMPANYID,COMPANYNAME,FYEAR,FQUARTER,EPS,fwd_return_30d,revenue_growth,operating_margin,pe_ratio,global_neg_frac,global_pos_frac,global_linear_score,LM_neg_frac,avg_confidence,strong_sentiment_frac,guidance_count,avg_specificity,near_future_frac,far_future_frac,transcript_text,REVENUE_pos,REVENUE_neg,REVENUE_neu,REVENUE_neg_frac,INDUSTRY_MOATS_DRIVERS_pos,INDUSTRY_MOATS_DRIVERS_neg,INDUSTRY_MOATS_DRIVERS_neu,INDUSTRY_MOATS_DRIVERS_neg_frac,EARNING_AND_COSTS_pos,EARNING_AND_COSTS_neg,EARNING_AND_COSTS_neu,EARNING_AND_COSTS_neg_frac,CAP_ALLOCATION_CASH_pos,CAP_ALLOCATION_CASH_neg,CAP_ALLOCATION_CASH_neu,CAP_ALLOCATION_CASH_neg_frac,EXOGENOUS_pos,EXOGENOUS_neg,EXOGENOUS_neu,EXOGENOUS_neg_frac,MANAGEMENT_CULTURE_SUSTAINABILITY_pos,MANAGEMENT_CULTURE_SUSTAINABILITY_neg,MANAGEMENT_CULTURE_SUSTAINABILITY_neu,MANAGEMENT_CULTURE_SUSTAINABILITY_neg_frac,OTHER_CRITERIA_pos,OTHER_CRITERIA_neg,OTHER_CRITERIA_neu,OTHER_CRITERIA_neg_frac,eps_surprise_pct
1,Company_001,2021,3,17.8682,0.020698,0.0599,0.1525,21.55,0.4078,0.5922,0.1843,0.3988,3.42,0.3304,2,2.53,0.4488,0.2441,Company_001 Q3 2021: Revenue grew 6.0% with margins at 15.3%. Management expects continued improvement ahead.,6,5,1,0.4305,1,0,1,0.3927,9,4,1,0.2933,5,3,1,0.3592,1,1,1,0.5633,4,4,3,0.405,10,7,0,0.503,0.05964786604134716
1,Company_001,2021,4,18.934,0.042338,0.0648,0.1625,37.79,0.3197,0.3673,0.0477,0.3988,4.44,0.4984,1,2.6,0.6551,0.1377,Company_001 Q4 2021: Revenue grew 6.5% with margins at 16.2%. Management expects continued improvement ahead.,4,4,2,0.4295,2,2,1,0.401,3,1,8,0.0943,2,2,1,0.4146,3,1,2,0.3072,1,2,2,0.4262,3,1,4,0.2392,0.05259850005281498
1,Company_001,2022,1,19.9299,0.023919,0.0303,0.2295,32.55,0.285,0.4306,0.1456,0.2276,4.06,0.3977,2,2.96,0.6849,0.1437,Company_001 Q1 2022: Revenue grew 3.0% with margins at 23.0%. Management expects continued improvement ahead.,3,2,1,0.3409,3,1,5,0.1268,1,0,4,0.1402,5,4,5,0.314,2,0,2,0.2186,6,3,3,0.3161,1,0,3,0.2058,0.09816406504799315
1,Company_001,2022,2,21.8863,-0.04818,0.0853,0.2438,17.9,0.2898,0.4336,0.1438,0.2127,4.03,0.3739,4,1.83,0.3305,0.2851,Company_001 Q2 2022: Revenue grew 8.5% with margins at 24.4%. Management expects continued improvement ahead.,2,1,2,0.2911,0,0,2,0.2125,4,1,3,0.1931,5,4,0,0.4714,4,1,4,0.209,6,2,5,0.1857,3,1,8,0.1088,0.059996436126709504
1,Company_001,2022,3,23.1994,0.009334,0.0549,0.1668,9.5,0.3713,0.5556,0.1843,0.2841,2.67,0.1089,1,2.8,0.6089,0.18,Company_001 Q3 2022: Revenue grew 5.5% with margins at 16.7%. Management expects continued improvement ahead.,3,2,2,0.3403,4,4,2,0.4009,2,1,1,0.3599,3,2,1,0.3932,3,3,0,0.5229,4,1,1,0.3069,2,1,1,0.2645,0.053596213695181666
1,Company_001,2022,4,24.4428,-0.060554,0.0746,0.1898,16.26,0.4856,0.5144,0.0288,0.2972,3.15,0.492,4,2.37,0.3837,0.1949,Company_001 Q4 2022: Revenue grew 7.5% with margins at 19.0%. Management expects continued improvement ahead.,3,4,1,0.5022,1,1,1,0.4587,1,1,1,0.6225,4,5,3,0.4906,5,6,0,0.63,8,5,0,0.4402,1,0,1,0.493,-0.0021806012404469444
1,Company_001,2023,1,24.3895,0.009599,0.0505,0.1187,23.4,0.7013,0.2347,-0.4666,0.6638,3.72,0.3047,2,3.8,0.3244,0.1192,Company_001 Q1 2023: Revenue grew 5.1% with margins at 11.9%. Management expects continued challenges ahead.,0,4,1,0.8625,0,2,2,0.6499,1,2,0,0.7057,1,3,2,0.5647,2,9,3,0.6483,1,4,1,0.7064,0,1,2,0.5579,0.058127472887923075
1,Company_001,2023,2,25.8072,0.014362,0.0557,0.0959,11.83,0.4636,0.3204,-0.1432,0.3345,4.23,0.3374,3,2.39,0.5595,0.1699,Company_001 Q2 2023: Revenue grew 5.6% with margins at 9.6%. Management expects continued challenges ahead.,3,4,4,0.406,1,0,2,0.2334,3,4,1,0.6233,8,5,1,0.3648,1,2,1,0.5756,1,3,2,0.5538,0,0,2,0.3732,0.07190241482996988
1,Company_001,2023,3,27.6628,0.055372,0.0813,0.2522,16.96,0.5213,0.4787,-0.0425,0.5741,3.92,0.1748,5,3.28,0.3798,0.2341,Company_001 Q3 2023: Revenue grew 8.1% with margins at 25.2%. Management expects continued challenges ahead.,3,1,2,0.3205,1,1,1,0.6608,2,3,2,0.5201,3,2,2,0.3814,1,2,2,0.4595,3,4,0,0.601,3,3,1,0.5204,0.053165261651025954
1,Company_001,2023,4,29.1335,-0.012117,0.0951,0.1405,31.09,0.3899,0.368,-0.0219,0.3988,2.12,0.4126,2,3.49,0.3807,0.0909,Company_001 Q4 2023: Revenue grew 9.5% with margins at 14.1%. Management expects continued challenges ahead.,6,5,3,0.4037,0,1,2,0.391,6,4,1,0.3946,1,1,4,0.1954,2,1,1,0.4659,5,4,4,0.3295,5,4,4,0.3696,0.05794017196697955
1,Company_001,2024,1,30.8215,0.031151,0.0486,0.1059,36.12,0.3562,0.6438,0.2877,0.4776,3.24,0.3966,2,3.47,0.3607,0.1279,Company_001 Q1 2024: Revenue grew 4.9% with margins at 10.6%. Management expects continued improvement ahead.,6,4,0,0.4433,7,2,0,0.3061,2,2,3,0.2885,1,0,1,0.1235,4,3,1,0.3888,5,2,2,0.2814,4,1,2,0.2677,0.04227243969307143
1,Company_001,2024,2,32.1244,0.025953,0.0397,0.116,21.56,0.2216,0.4107,0.1891,0.2574,2.72,0.346,1,2.97,0.5024,0.2029,Company_001 Q2 2024: Revenue grew 4.0% with margins at 11.6%. Management expects continued improvement ahead.,0,0,2,0.1738,2,1,2,0.255,8,1,5,0.1269,1,0,4,0.1282,2,2,0,0.5192,5,3,4,0.3189,5,4,2,0.4093,0.04022176289673886
1,Company_001,2024,3,33.4165,-0.006319,0.0825,0.2026,37.53,0.4222,0.4336,0.0114,0.3306,3.16,0.2923,2,2.63,0.3898,0.1631,Company_001 Q3 2024: Revenue grew 8.2% with margins at 20.3%. Management expects continued improvement ahead.,6,4,3,0.3431,1,1,2,0.3592,3,3,1,0.4405,1,1,3,0.3594,4,3,2,0.4277,3,1,2,0.2638,2,3,1,0.5293,0.00891475767958938
1,Company_001,2024,4,33.7144,-0.01607,0.0255,0.185,30.85,0.3091,0.05,-0.2591,0.4556,3.32,0.3138,0,0.0,0.4603,0.1899,Company_001 Q4 2024: Revenue grew 2.6% with margins at 18.5%. Management expects continued challenges ahead.,0,3,9,0.3037,0,1,4,0.3787,1,2,4,0.3608,4,2,8,0.1462,0,2,7,0.315,0,1,13,0.118,0,2,7,0.3246,
2,Company_002,2019,1,13.2135,0.030448,0.0371,0.1962,34.16,0.475,0.201,-0.274,0.5076,2.85,0.2038,1,2.41,0.3137,0.2577,Company_002 Q1 2019: Revenue grew 3.7% with margins at 19.6%. Management expects continued challenges ahead.,2,5,6,0.4388,0,2,2,0.5972,1,7,6,0.5472,1,1,4,0.3041,0,4,5,0.525,1,4,4,0.451,0,0,3,0.3057,0.12693835849699175
2,Company_002,2019,2,14.8908,0.037016,0.0725,0.0211,31.05,0.2495,0.5425,0.293,0.3047,2.27,0.156,2,3.75,0.6496,0.1994,Company_002 Q2 2019: Revenue grew 7.3% with margins at 2.1%. Management expects continued improvement ahead.,4,1,4,0.2134,1,0,1,0.2752,7,2,1,0.2829,6,0,2,0.0,3,1,1,0.3167,4,0,3,0.1295,0,0,2,0.3646,0.04845945147339288
2,Company_002,2019,3,15.6124,0.026506,0.0783,0.278,18.7,0.0739,0.2081,0.1342,0.0163,3.93,0.1426,0,0.0,0.4406,0.1532,Company_002 Q3 2019: Revenue grew 7.8% with margins at 27.8%. Management expects continued improvement ahead.,2,0,11,0.0114,2,1,11,0.0886,0,0,5,0.0,1,0,3,0.0,2,0,7,0.0611,0,0,2,0.0834,0,0,4,0.1036,-0.03236529937741784
2,Company_002,2019,4,15.1071,0.009337,0.05,0.1808,11.69,0.5902,0.2805,-0.3097,0.6036,3.05,0.4181,6,3.66,0.6378,0.1298,Company_002 Q4 2019: Revenue grew 5.0% with margins at 18.1%. Management expects continued challenges ahead.,2,6,4,0.5826,3,6,4,0.5243,3,5,1,0.6523,2,3,1,0.6021,3,6,1,0.6591,3,7,2,0.6361,2,3,1,0.6636,0.033282363921599695
2,Company_002,2020,1,15.6099,-0.049759,0.029,0.1367,24.72,0.1936,0.5917,0.3981,0.1259,3.83,0.1013,4,2.39,0.4149,0.1241,Company_002 Q1 2020: Revenue grew 2.9% with margins at 13.7%. Management expects continued improvement ahead.,5,1,3,0.1675,6,3,1,0.3383,10,2,2,0.2082,5,0,3,0.0587,7,2,3,0.2192,2,0,2,0.2019,4,1,4,0.1912,0.038200116592675123
2,Company_002,2020,2,16.2062,0.035815,0.0634,0.0913,32.26,0.1689,0.2394,0.0705,0.226,3.74,0.1616,7,2.66,0.5492,0.237,Company_002 Q2 2020: Revenue grew 6.3% with margins at 9.1%. Management expects continued improvement ahead.,2,2,5,0.2372,3,1,10,0.0863,3,3,8,0.2617,4,1,9,0.1029,2,3,6,0.331,1,0,5,0.1585,1,2,7,0.2878,0.0560217694462614
2,Company_002,2020,3,17.1141,-0.031327,0.0407,0.068,36.12,0.1259,0.2926,0.1667,0.2583,3.99,0.3634,0,0.0,0.3629,0.0901,Company_002 Q3 2020: Revenue grew 4.1% with margins at 6.8%. Management expects continued improvement ahead.,0,0,3,0.0655,2,1,6,0.1545,0,0,3,0.1384,1,0,8,0.0,0,0,3,0.1024,0,0,2,0.0742,1,0,3,0.2167,0.05898060663429566
2,Company_002,2020,4,18.1235,-0.01685,0.0821,0.2289,38.82,0.2386,0.2608,0.0221,0.2576,2.85,0.353,5,3.38,0.6155,0.0934,Company_002 Q4 2020: Revenue grew 8.2% with margins at 22.9%. Management expects continued improvement ahead.,4,3,4,0.2981,1,1,6,0.2291,4,2,8,0.1553,3,2,9,0.1993,0,0,2,0.239,2,2,5,0.2433,0,0,4,0.1504,0.06936298176400812
2,Company_002,2021,1,19.3806,-0.015765,0.0402,0.1443,28.43,0.3149,0.677,0.3621,0.2927,2.99,0.2097,2,2.28,0.4283,0.2311,Company_002 Q1 2021: Revenue grew 4.0% with margins at 14.4%. Management expects continued improvement ahead.,10,3,0,0.2562,4,2,2,0.3516,7,5,0,0.4286,2,0,1,0.2594,5,1,2,0.1919,2,0,1,0.2606,9,2,1,0.2426,0.05885266710008973
2,Company_002,2021,2,20.5212,0.022819,0.0269,0.1782,33.52,0.446,0.4604,0.0144,0.303,2.78,0.2821,7,2.66,0.5722,0.1489,Company_002 Q2 2021: Revenue grew 2.7% with margins at 17.8%. Management expects continued improvement ahead.,4,6,2,0.515,5,8,0,0.7024,2,1,1,0.4917,3,4,2,0.5068,4,5,1,0.5398,3,5,2,0.5169,3,3,1,0.5066,0.06268151959924374
2,Company_002,2021,3,21.8075,-0.001465,0.0853,0.1697,33.66,0.4824,0.5176,0.0353,0.6636,2.85,0.4259,6,3.15,0.5212,0.1994,Company_002 Q3 2021: Revenue grew 8.5% with margins at 17.0%. Management expects continued improvement ahead.,3,3,1,0.45,6,6,0,0.6327,4,4,2,0.4886,2,2,1,0.4554,2,2,3,0.3438,1,1,1,0.6621,7,7,0,0.5175,0.07578126791241543
2,Company_002,2021,4,23.4601,0.090732,0.1073,0.1445,31.27,0.4682,0.5318,0.0636,0.4208,3.86,0.2702,3,3.34,0.6071,0.1762,Company_002 Q4 2021: Revenue grew 10.7% with margins at 14.4%. Management expects continued improvement ahead.,7,4,0,0.4222,3,4,1,0.5757,9,7,0,0.5106,2,1,1,0.4478,3,5,1,0.5811,5,6,0,0.5881,2,3,2,0.4802,0.010259973316396791
2,Company_002,2022,1,23.7008,0.027381,0.0704,0.2305,26.54,0.2886,0.4115,0.1229,0.1992,3.66,0.1381,0,0.0,0.4564,0.2924,Company_002 Q1 2022: Revenue grew 7.0% with margins at 23.1%. Management expects continued improvement ahead.,0,1,2,0.4455,2,1,1,0.3486,5,4,4,0.3686,1,1,4,0.2213,4,2,3,0.226,2,4,5,0.4543,5,4,5,0.321,0.06547036386957403
2,Company_002,2022,2,25.2525,-0.005415,0.0855,0.2149,35.78,0.1631,0.5662,0.403,0.1809,2.51,0.1448,1,3.97,0.3492,0.1078,Company_002 Q2 2022: Revenue grew 8.5% with margins at 21.5%. Management expects continued improvement ahead.,1,0,3,0.0923,5,1,8,0.1359,1,0,1,0.0974,10,1,2,0.1138,2,0,3,0.0371,4,1,1,0.2152,6,0,3,0.0026,0.03320859320859319
2,Company_002,2022,3,26.0911,0.021161,0.0738,0.1834,35.67,0.2564,0.3195,0.0631,0.2461,3.92,0.1452,0,0.0,0.5758,0.2191,Company_002 Q3 2022: Revenue grew 7.4% with margins at 18.3%. Management expects continued improvement ahead.,1,2,2,0.428,3,3,3,0.3481,7,0,6,0.0463,4,2,8,0.1499,2,1,3,0.1832,1,1,5,0.2841,1,0,2,0.2374,0.10103061963658103
2,Company_002,2022,4,28.7271,0.04339,0.0701,0.1563,25.42,0.1785,0.645,0.4665,0.2538,2.01,0.2298,3,3.02,0.5254,0.1451,Company_002 Q4 2022: Revenue grew 7.0% with margins at 15.6%. Management expects continued improvement ahead.,2,0,1,0.0639,0,0,2,0.1031,7,2,1,0.2717,7,1,4,0.1533,3,0,2,0.1278,2,0,1,0.275,8,3,3,0.2355,0.07689255093622398
2,Company_002,2023,1,30.936,-0.011699,0.0864,0.1406,11.25,0.05,0.6652,0.6152,0.0247,3.21,0.2027,3,3.18,0.6718,0.1831,Company_002 Q1 2023: Revenue grew 8.6% with margins at 14.1%. Management expects continued improvement ahead.,5,0,4,0.0542,8,1,1,0.159,1,0,2,0.1482,7,0,4,0.0046,3,0,2,0.0,5,1,1,0.1884,9,1,2,0.1355,0.033995991724851314
2,Company_002,2023,2,31.9877,0.007697,0.0968,0.1373,32.64,0.3745,0.2925,-0.0821,0.2449,3.39,0.2023,3,2.19,0.629,0.1559,Company_002 Q2 2023: Revenue grew 9.7% with margins at 13.7%. Management expects continued challenges ahead.,2,6,5,0.5304,2,3,3,0.3808,5,3,6,0.2411,0,0,2,0.3083,4,4,4,0.367,6,1,4,0.1468,3,4,4,0.4158,0.06897963904875942
2,Company_002,2023,3,34.1942,0.048333,0.1235,0.131,10.74,0.2247,0.7218,0.4971,0.2816,4.24,0.1767,7,2.42,0.4374,0.2043,Company_002 Q3 2023: Revenue grew 12.3% with margins at 13.1%. Management expects continued improvement ahead.,3,0,1,0.1059,4,1,1,0.2167,10,4,0,0.3472,8,2,4,0.1689,1,0,2,0.2914,4,0,4,0.0811,3,1,1,0.329,0.05405887548180689
2,Company_002,2023,4,36.0427,0.011927,0.0045,0.125,11.83,0.3178,0.3219,0.0041,0.1988,4.44,0.108,3,3.82,0.516,0.2605,Company_002 Q4 2023: Revenue grew 0.5% with margins at 12.5%. Management expects continued improvement ahead.,1,3,5,0.3383,5,5,4,0.4002,0,1,2,0.5295,2,1,2,0.2989,1,1,3,0.3597,3,2,5,0.2497,2,3,5,0.3556,0.03538025730591765
2,Company_002,2024,1,37.3179,-0.01281,0.0716,0.196,35.78,0.3788,0.3536,-0.0252,0.387,4.01,0.416,3,3.55,0.429,0.0557,Company_002 Q1 2024: Revenue grew 7.2% with margins at 19.6%. Management expects continued challenges ahead.,2,2,3,0.3922,4,4,6,0.3497,3,3,6,0.3084,0,1,3,0.3848,0,1,4,0.2685,6,5,2,0.4153,0,0,2,0.3403,0.04244879802989984
2,Company_002,2024,2,38.902,0.001977,0.0964,0.1271,8.01,0.2684,0.4131,0.1447,0.0709,2.04,0.341,6,1.88,0.3245,0.2452,Company_002 Q2 2024: Revenue grew 9.6% with margins at 12.7%. Management expects continued improvement ahead.,5,4,5,0.3231,4,2,1,0.3394,1,0,3,0.2384,1,2,3,0.3616,2,1,2,0.2379,6,2,5,0.1633,1,0,2,0.2738,0.016554418795948753
2,Company_002,2024,3,39.546,0.014919,0.0974,0.1212,8.61,0.2655,0.3384,0.0729,0.3196,2.65,0.4041,1,1.97,0.5476,0.1309,Company_002 Q3 2024: Revenue grew 9.7% with margins at 12.1%. Management expects continued improvement ahead.,1,0,3,0.2287,0,0,2,0.3203,0,0,2,0.2815,3,2,9,0.1922,4,2,2,0.3154,5,4,5,0.3532,0,2,5,0.3035,0.049332423001061984
2,Company_002,2024,4,41.4969,-0.003477,0.1393,0.1197,29.1,0.5114,0.3816,-0.1298,0.4735,4.24,0.3547,6,3.72,0.4802,0.2706,Company_002 Q4 2024: Revenue grew 13.9% with margins at 12.0%. Management expects continued challenges ahead.,2,2,2,0.4679,1,1,3,0.3806,1,2,1,0.5074,1,2,4,0.3876,0,0,2,0.3501,6,6,1,0.4998,1,1,1,0.3993,
3,Company_003,2019,1,2.6502,-0.029258,0.0435,0.0995,23.55,0.3315,0.4141,0.0826,0.2534,4.3,0.3083,7,3.14,0.3512,0.1346,Company_003 Q1 2019: Revenue grew 4.4% with margins at 9.9%. Management expects continued improvement ahead.,3,2,4,0.3326,3,2,7,0.1968,5,2,4,0.2705,3,3,3,0.3598,3,4,3,0.4312,4,3,3,0.3104,1,0,2,0.2732,0.525167911855709
3,Company_003,2019,2,4.042,0.056791,0.0666,0.1174,34.17,0.055,0.7084,0.6534,0.146,2.53,0.3023,7,2.36,0.4654,0.2395,Company_003 Q2 2019: Revenue grew 6.7% with margins at 11.7%. Management expects continued improvement ahead.,1,0,1,0.0,4,0,4,0.0274,2,0,1,0.1463,5,0,4,0.11,5,0,3,0.1156,4,1,2,0.215,8,1,4,0.1053,0.0724888668975755
3,Company_003,2019,3,4.335,-0.010134,0.0551,0.1108,38.66,0.3744,0.2716,-0.1028,0.361,2.92,0.2308,2,3.6,0.4881,0.1755,Company_003 Q3 2019: Revenue grew 5.5% with margins at 11.1%. Management expects continued challenges ahead.,3,3,3,0.3565,0,0,2,0.3494,1,2,2,0.4283,2,3,6,0.3535,2,1,3,0.245,4,5,3,0.4464,4,2,4,0.2757,-0.10775086505190308
3,Company_003,2019,4,3.8679,0.019088,0.0544,0.2156,10.47,0.2088,0.5816,0.3728,0.268,2.15,0.2337,5,3.95,0.3839,0.2563,Company_003 Q4 2019: Revenue grew 5.4% with margins at 21.6%. Management expects continued improvement ahead.,3,1,3,0.2707,4,1,1,0.173,1,0,1,0.1337,2,0,2,0.0907,4,3,1,0.4646,5,1,3,0.14,8,2,3,0.2198,-0.03999586338840199
3,Company_003,2020,1,3.7132,0.002886,0.0016,0.1662,16.3,0.4042,0.3131,-0.091,0.4183,3.07,0.4491,4,2.65,0.4924,0.1588,Company_003 Q1 2020: Revenue grew 0.2% with margins at 16.6%. Management expects continued challenges ahead.,0,0,2,0.3403,4,6,2,0.5555,0,0,2,0.3135,2,7,3,0.5904,4,5,2,0.4892,4,3,7,0.2788,3,3,1,0.476,0.019363352364537286
3,Company_003,2020,2,3.7851,0.014884,0.0862,0.2517,19.07,0.3998,0.327,-0.0728,0.3984,2.79,0.4087,5,3.75,0.3087,0.2159,Company_003 Q2 2020: Revenue grew 8.6% with margins at 25.2%. Management expects continued challenges ahead.,1,2,2,0.414,3,2,4,0.2999,4,5,4,0.4119,2,3,4,0.3794,3,3,5,0.3044,2,4,4,0.4243,1,2,2,0.4712,0.07799001347388454
3,Company_003,2020,3,4.0803,0.00514,0.0416,0.0952,29.25,0.1156,0.3206,0.205,0.1708,2.54,0.139,7,2.53,0.5604,0.1864,Company_003 Q3 2020: Revenue grew 4.2% with margins at 9.5%. Management expects continued improvement ahead.,2,2,7,0.195,0,0,4,0.0599,3,1,6,0.1236,4,0,6,0.0549,0,0,2,0.1357,0,1,7,0.2168,3,1,3,0.1536,0.2365022179741685
3,Company_003,2020,4,5.0453,-0.017948,0.0636,0.1124,34.31,0.2408,0.3726,0.1318,0.0892,2.95,0.4102,2,1.99,0.3747,0.0735,Company_003 Q4 2020: Revenue grew 6.4% with margins at 11.2%. Management expects continued improvement ahead.,1,1,3,0.3783,2,0,3,0.1609,1,1,4,0.2683,3,3,6,0.2503,4,3,6,0.2867,3,2,4,0.3047,1,0,3,0.1672,0.07712128119239688
3,Company_003,2021,1,5.4344,0.002329,0.0889,0.1495,11.92,0.2085,0.2314,0.0229,0.1226,3.81,0.2292,3,3.7,0.471,0.0906,Company_003 Q1 2021: Revenue grew 8.9% with margins at 15.0%. Management expects continued improvement ahead.,2,0,7,0.0943,2,0,5,0.0,1,0,3,0.1441,2,3,7,0.2874,1,0,5,0.1538,1,1,4,0.2867,0,2,5,0.4147,0.07741424996319742
3,Company_003,2021,2,5.8551,0.016446,0.0347,0.0485,31.96,0.31,0.6689,0.359,0.4741,3.63,0.3484,5,3.35,0.6225,0.2609,Company_003 Q2 2021: Revenue grew 3.5% with margins at 4.9%. Management expects continued improvement ahead.,8,4,2,0.3324,5,2,0,0.3696,6,3,3,0.2864,6,4,0,0.424,2,1,1,0.3832,4,0,2,0.086,1,1,1,0.4142,0.09706068214035624
3,Company_003,2021,3,6.4234,0.031384,0.08,0.1232,31.68,0.2115,0.4756,0.264,0.0,4.3,0.212,7,3.27,0.6891,0.2565,Company_003 Q3 2021: Revenue grew 8.0% with margins at 12.3%. Management expects continued improvement ahead.,3,2,2,0.2983,4,1,5,0.1521,1,1,3,0.3144,2,0,2,0.2466,6,3,3,0.2975,4,1,4,0.1149,2,0,4,0.0802,-0.06082448547498207
